"","nomem_encr","Extraversion","Agreeableness","Conscientiousness","Emotional_stab","Openness","Self_esteem"
"363",805770,3.8,4,3.8,3.4,3.7,6.54
"364",805801,3.1,3.9,2.8,3.1,3.7,4.85
"365",805807,3,3,3,3,3,4
"366",805816,3.2,3.5,3.9,2.4,3.2,3.92
"367",805819,1.9,4.3,3,2.2,2.6,3.77
"368",805828,2.6,3.6,3.5,3,2.9,4.46
"369",805868,3.4,3.3,3.4,3.8,4.1,6.08
"370",805886,4.3,4.4,3.8,3.7,3.9,6.69
"371",805926,3.9,4.2,4.3,3.8,4.1,4.85
"372",806008,4,4.2,4.2,4,3.4,5.85
"373",806033,2.5,3.1,3.7,3.4,3.1,6.15
"374",806045,2.8,3.6,2.4,2,3.4,2.62
"375",806079,2.5,3.5,3.9,2.9,3.4,5.31
"376",806130,2.8,2.9,2.9,2.5,3.4,4.15
"377",806152,2.5,4.1,3.9,2.3,3,3.38
"378",806155,3.9,3.5,3.7,4,4.4,5.77
"379",806158,3.7,3.9,3.6,4,3.7,5.92
"380",806176,3.1,3.8,3.2,3.1,3.8,4.69
"381",806210,4.2,4.6,2.8,2.9,3.9,4.23
"382",806213,3.4,3.2,2.1,3,3.4,6.15
"383",806234,3.9,4.3,4,3.8,3.8,6.31
"384",806237,3.1,4.5,4.8,4.1,3.8,6.54
"385",806240,4.1,4.5,3.5,2.8,3.8,3
"386",806250,2.6,3.7,3.8,2.7,3.2,4.54
"387",806256,2.9,3.4,4.4,4.3,3,6.38
"388",806292,4,4.4,4.6,3.7,4.3,6
"389",806307,4.4,4.2,3.8,3.8,4.2,6.54
"390",806341,3,3.7,3.7,4.2,3.6,6.08
"391",806350,2.6,4,3.3,2.9,4,5.23
"392",806414,3.3,4.1,3.7,1.9,3.4,4.38
"393",806451,4.1,4.6,4,3.6,3.4,5.85
"394",806454,3.2,3.2,3.8,2.6,3.6,4.08
"395",806460,4.2,4.1,4.5,4.2,4.4,6.31
"396",806521,4.4,4.7,4.5,4.2,3.4,6.38
"397",806542,3.4,3.9,4,3.9,3.7,6.85
"398",806552,2.9,3.9,3.7,3.4,2.9,4.69
"399",806567,4,3.9,3.6,4,3.4,6.31
"400",806579,1.9,4.2,3.9,4.3,3.1,6.31
"401",806628,2.9,3.6,4,4.1,2.8,5.77
"402",806652,2.9,3.4,4.1,3,2.6,4.54
"403",806655,2.4,2.6,3.5,3.4,3.5,4.23
"404",806658,3.4,3.8,2.6,3.8,3.9,6.08
"405",806668,4.1,4.8,4.9,4.4,3.9,7
"406",806683,3.5,4,3.3,3.8,3.2,5.38
"407",806689,3,4.1,4,3.5,2.9,6
"408",806701,2.4,3.6,3.5,3.5,4,5.23
"409",806707,3.1,3.5,3.1,4.1,3.7,5.85
"410",806719,3,3,3,3,3,4
"411",806729,4.1,3.4,2.6,3.8,3.2,6.31
"412",806732,3.3,3.4,4.1,3.1,3,5.85
"413",806765,4.7,4.5,4,3.1,3.3,6.85
"414",806774,3.1,3.7,4.5,4.5,3.6,6.08
"415",806777,4.7,4.5,4,4,3.8,6.85
"416",806790,2.6,4.5,4.4,3.2,2.5,5.92
"417",806793,3.8,3.8,3.9,3.5,3.3,4.92
"418",806811,2.8,3.9,3.3,3.7,3,5
"419",806814,2.9,4.3,3.4,2.5,3.6,3.15
"420",806823,3.5,3.6,4.6,3.4,3.7,6.92
"421",806832,2.3,3.8,3.8,3.6,3.2,4
"422",806890,3,4,3.5,3.7,3.3,5.54
"423",806900,3.3,4,3.5,2.8,3.6,4.54
"424",806912,3.4,4.5,3.5,3.6,3.8,5.85
"425",806939,4.6,4.6,3,2.8,3.5,6.38
"426",806967,2,3.6,3.3,2.7,3.5,4.46
"427",806985,3.1,3.3,4,2.8,3.4,4.23
"428",807000,3.4,4.4,3.8,4,3.8,6.54
"429",807022,3.6,3.7,3.5,3.5,2.9,5.38
"430",807037,2.4,4.5,3.8,3,3.3,5.92
"431",807040,2.5,3.1,2.9,2.1,2.9,4.46
"432",807058,3.6,3.8,3.6,3.6,3.8,5.46
"433",807061,1.9,3.9,3.2,2.7,3.1,4.31
"434",807070,2.6,4.1,2.9,3.1,3.6,4
